table,elmer_name,elmer_value,model_value,model_name
household,res_type,Single-family house (detached house),1,hrestype
household,res_type,Townhouse (attached house),2,hrestype
household,res_type,Building with 3 or fewer apartments/condos,2,hrestype
household,res_type,Building with 4 or more apartments/condos,3,hrestype
household,res_type,Mobile home/trailer,4,hrestype
household,res_type,Dorm or institutional housing,5,hrestype
household,res_type,"Other (including boat, RV, van, etc.)",6,hrestype
household,res_type,Missing Response,9,hrestype
household,rent_own,Own/paying mortgage,1,hownrent
household,rent_own,Rent,2,hownrent
household,rent_own,Provided by job or military,3,hownrent
household,rent_own,Prefer not to answer,3,hownrent
household,rent_own,Other,3,hownrent
household,rent_own,"Provided by family, relative, or friend without payment or rent",3,hownrent
household,rent_own,Missing Response,3,hownrent
household,hhincome_detailed,"Under $10,000",5000,income
household,hhincome_detailed,"$10,000-$24,999",17500,income
household,hhincome_detailed,"$25,000-$34,999",30000,income
household,hhincome_detailed,"$35,000-$49,999",42500,income
household,hhincome_detailed,"$50,000-$74,999",62500,income
household,hhincome_detailed,"$75,000-$99,999",87500,income
household,hhincome_detailed,"$100,000-$149,999",125000,income
household,hhincome_detailed,"$150,000-$199,999",175000,income
household,hhincome_detailed,"$200,000-$249,999",225000,income
household,hhincome_detailed,"$250,000 or more",250000,income
household,hhincome_detailed,Prefer not to answer,-1,income
household,hhincome_detailed,Missing: Skip Logic,-1,income
household,hhsize,1 person,1,hhsize
household,hhsize,2 people,2,hhsize
household,hhsize,3 people,3,hhsize
household,hhsize,4 people,4,hhsize
household,hhsize,5 people,5,hhsize
household,hhsize,6 people,6,hhsize
household,hhsize,7 people,7,hhsize
household,hhsize,8 people,8,hhsize
household,hhsize,9 people,9,hhsize
household,hhsize,10 people,10,hhsize
household,hhsize,11 people,11,hhsize
household,hhsize,12 people,12,hhsize
household,hhsize,13 or more people,13,hhsize
household,numworkers,0 workers,0,numworkers
household,numworkers,1 worker,1,numworkers
household,numworkers,2 workers,2,numworkers
household,numworkers,3 workers,3,numworkers
household,numworkers,4 workers,4,numworkers
household,numworkers,5 workers,5,numworkers
household,numadults,0 adults,0,numadults
household,numadults,1 adult,1,numadults
household,numadults,2 adults,2,numadults
household,numadults,3 adults,3,numadults
household,numadults,4 adults,4,numadults
household,numadults,5 adults,5,numadults
household,vehicle_count,0 (no vehicles),0,auto_ownership
household,vehicle_count,1 vehicle,1,auto_ownership
household,vehicle_count,2 vehicles,2,auto_ownership
household,vehicle_count,3 vehicles,3,auto_ownership
household,vehicle_count,4 vehicles,4,auto_ownership
household,vehicle_count,5 vehicles,5,auto_ownership
household,vehicle_count,6 vehicles,6,auto_ownership
household,vehicle_count,7 vehicles,7,auto_ownership
household,vehicle_count,8 or more vehicles,8,auto_ownership
household,hh_race_category,White non-Hispanic,1,hh_race
household,hh_race_category,AANHPI non-Hispanic,6,hh_race
household,hh_race_category,Missing Response,-1,hh_race
household,hh_race_category,Hispanic,8,hh_race
household,hh_race_category,Some Other Races non-Hispanic,8,hh_race
household,hh_race_category,Black or African American non-Hispanic,2,hh_race
person,age,Under 5 years old,2,age
person,age,5-11 years,8,age
person,age,12-15 years,14,age
person,age,16-17 years,17,age
person,age,18-24 years,21,age
person,age,25-34 years,30,age
person,age,35-44 years,40,age
person,age,45-54 years,50,age
person,age,55-64 years,60,age
person,age,65-74 years,70,age
person,age,75-84 years,80,age
person,age,85 or years older,85,age
person,gender,Boy/Man (cisgender or transgender),1,sex
person,gender,Girl/Woman (cisgender or transgender),2,sex
